383,凷,5,20983
384,卭,5,21357
385,壭,5,22765
386,邛,5,37019
387,功,5,21151
388,扐,5,25168
389,扔,5,25172
390,去,5,21435
391,払,5,25173
392,甘,5,29976
393,艼,5,33404
394,世,5,19990
395,丗,5,19991
396,卌,5,21324
397,艾,5,33406
398,艽,5,33405
399,芁,5,33409
400,古,5,21476
401,节,5,33410
402,艻,5,33403
403,艿,5,33407
404,芀,5,33408
405,本,5,26412
406,术,5,26415
407,札,5,26413
408,朰,5,26416
409,朮,5,26414
410,刌,5,21004
411,辻,5,36795
412,可,5,21487
413,叵,5,21493
414,匝,5,21277
415,丙,5,19993
416,厈,5,21384
417,圧,5,22311
418,左,5,24038
419,厉,5,21385
420,丕,5,19989
421,右,5,21491
422,石,5,30707
423,布,5,24067
424,厇,5,21383
425,夳,5,22835
426,夲,5,22834
427,夰,5,22832
428,冭,5,20909
429,夯,5,22831
430,厺,5,21434
431,戊,5,25098
432,龙,5,40857
433,犮,5,29358
434,匛,5,21275
435,平,5,24179
436,灭,5,28781
437,乬,5,20076
438,巪,5,24042
439,轧,5,36711
440,东,5,19996
441,匜,5,21276
442,劢,5,21154
443,戉,5,25097
444,卡,5,21345
445,仧,5,20199
446,北,5,21271
447,凸,5,20984
448,占,5,21344
449,歺,4,27514
450,卢,5,21346
451,业,5,19994
452,旧,5,26087
453,帅,5,24069
454,归,5,24402
455,氺,5,27706
456,且,5,19988
457,旦,5,26086
458,目,5,30446
459,叮,5,21486
460,叶,5,21494
461,曱,5,26353
462,甲,5,30002
463,申,5,30003
464,号,5,21495
465,电,5,30005
466,田,5,30000
467,由,5,30001
468,卟,5,21343
469,只,5,21482
470,叭,5,21485
471,史,5,21490
472,叺,5,21498
473,央,5,22830
474,兄,5,20804
475,叱,5,21489
476,叽,5,21501
477,叼,5,21500
478,叩,5,21481
479,叫,5,21483
480,另,5,21478
481,叧,5,21479
482,叨,5,21480
483,叻,5,21499
484,叹,5,21497
485,亗,5,20119
486,冉,5,20873
