275,今,4,jin1,jin104
276,凶,4,xiong1,xiong104
277,分,4,fen1,fen104
278,乏,5,fa2,fa205
279,公,4,gong1,gong104
280,仓,4,cang1,cang104
281,勻,4,yun2,yun204
282,月,4,yue4,yue404
283,卆,4,zu2,zu204
284,厃,4,han3,han304
285,氏,4,shi4,shi404
286,勿,4,wu4,wu404
287,勽,4,bao4,bao404
288,匁,4,zzzzzz5,zzzzzz599
289,欠,4,qian4,qian404
290,风,4,feng1,feng104
291,勼,4,jiu1,jiu104
292,匂,4,zzzzzz5,zzzzzz599
293,丹,4,dan1,dan104
294,匀,4,yun2,yun204
295,乌,4,wu1,wu104
296,卬,4,ang2,ang204
297,凤,4,feng4,feng404
298,勾,4,gou1,gou104
299,厹,4,qiu2,qiu204
300,殳,4,shu1,shu104
301,卞,4,bian4,bian404
302,亣,4,ta4,ta404
303,六,4,liu4,liu404
304,文,4,wen2,wen204
305,亢,4,kang4,kang404
306,方,4,fang1,fang104
307,闩,4,shuan1,shuan104
308,火,4,huo3,huo304
309,兯,4,zzzzzz5,zzzzzz599
310,为,4,wei2,wei204
311,斗,4,dou4,dou404
312,忆,4,yi4,yi404
313,灬,4,biao1,biao104
314,计,4,ji4,ji404
315,订,4,ding4,ding404
316,户,4,hu4,hu404
317,礻,4,shi4,shi404
318,讣,4,fu4,fu404
319,认,4,ren4,ren404
320,冗,4,rong3,rong304
321,冘,4,yin2,yin204
322,讥,4,ji1,ji104
323,心,4,xin1,xin104
324,丮,4,ji3,ji304
325,肀,4,yu4,yu404
326,尹,4,yin3,yin304
327,卐,4,wan4,wan404
328,夬,4,guai4,guai404
329,尺,4,chi3,chi304
330,弖,4,hu4,hu404
331,弔,4,diao4,diao404
332,引,4,yin3,yin304
333,丑,4,chou3,chou304
334,卍,4,wan4,wan404
335,爿,4,pan2,pan204
336,孔,4,kong3,kong304
337,巴,4,ba1,ba104
338,队,4,dui4,dui404
339,阞,4,le4,le404
340,収,4,shou1,shou104
341,丒,4,chou3,chou304
342,刅,4,chuang1,chuang104
343,办,4,ban4,ban404
344,夃,5,gu1,gu105
345,以,5,yi3,yi305
346,允,4,yun3,yun304
347,予,4,yu3,yu304
348,邓,4,deng4,deng404
349,劝,4,quan4,quan404
350,厸,4,lin2,lin204
351,双,4,shuang1,shuang104
352,毌,4,guan4,guan404
353,书,4,shu1,shu104
354,毋,4,wu2,wu204
355,乣,4,diu1,diu104
356,幻,4,huan4,huan404
357,弍,5,er4,er405
358,玉,5,yu4,yu405
359,玊,5,su4,su405
360,匞,5,jiang4,jiang405
361,玌,5,qiu2,qiu205
362,刊,5,kan1,kan105
363,未,5,wei4,wei405
364,末,5,mo4,mo405
365,示,5,shi4,shi405
366,击,5,ji1,ji105
367,邗,5,han2,han205
368,邘,5,yu2,yu205
369,丼,5,jing3,jing305
370,戋,5,jian1,jian105
371,圢,5,ting3,ting305
372,打,5,da3,da305
373,巧,5,qiao3,qiao305
374,正,5,zheng4,zheng405
375,圤,5,yan2,yan205
376,扑,5,pu1,pu105
377,卉,5,hui4,hui405
378,圦,5,zzzzzz5,zzzzzz599
379,扒,5,ba1,ba105
380,扖,5,zzzzzz5,zzzzzz599
381,圥,5,lu2,lu205
382,扏,5,qiu2,qiu205
383,凷,5,kuai4,kuai405
384,卭,5,qiong2,qiong205
385,壭,5,zzzzzz5,zzzzzz599
386,邛,5,qiong2,qiong205
387,功,5,gong1,gong105
