stroke_index,,num_stroke,pinyin,pinyin_tone,pinyin_tone_stroke
20161,仁,4,ren,ren2,ren204
20160,什,4,shen,shen2,shen204
20163,仃,4,ding,ding1,ding104
29255,片,4,pian,pian4,pian404
20166,仆,4,pu,pu1,pu104
20168,仈,4,ba,ba1,ba104
20167,仇,4,chou,chou2,chou204
20169,仉,4,zhang,zhang3,zhang304
21270,化,4,hua,hua4,hua404
23666,屲,4,wa,wa1,wa104
24065,币,4,bi,bi4,bi404
20162,仂,4,le,le4,le404
20173,仍,4,reng,reng2,reng204
20165,仅,4,jin,jin3,jin304
20175,仏,4,fo,fo2,fo204
26020,斤,4,jin,jin1,jin104
29226,爪,4,zhua,zhua3,zhua304
20015,丯,4,jie,jie4,jie404
25142,戶,4,hu,hu4,hu404
21453,反,4,fan,fan3,fan304
20176,仐,4,san,san3,san304
20846,兮,4,xi,xi1,xi104
21000,刈,4,yi,yi4,yi404
20171,介,4,jie,jie4,jie404
20172,仌,4,bing,bing1,bing104
20174,从,4,cong,cong2,cong204
29238,父,4,fu,fu4,fu404
29243,爻,4,yao,yao2,yao204
20069,乥,4,zzzzzz,zzzzzz5,zzzzzz599
20177,仑,4,lun,lun2,lun204
23587,尣,3,wang,wang1,wang103
29227,爫,4,lan,lan4,lan404
20178,仒,4,zzzzzz,zzzzzz5,zzzzzz599
20170,今,4,jin,jin1,jin104
20982,凶,4,xiong,xiong1,xiong104
20998,分,4,fen,fen1,fen104
20047,乏,5,fa,fa2,fa205
20844,公,4,gong,gong1,gong104
20179,仓,4,cang,cang1,cang104
21243,勻,4,yun,yun2,yun204
26376,月,4,yue,yue4,yue404
21318,卆,4,zu,zu2,zu204
21379,厃,4,han,han3,han304
27663,氏,4,shi,shi4,shi404
21247,勿,4,wu,wu4,wu404
21245,勽,4,bao,bao4,bao404
21249,匁,4,zzzzzz,zzzzzz5,zzzzzz599
27424,欠,4,qian,qian4,qian404
39118,风,4,feng,feng1,feng104
21244,勼,4,jiu,jiu1,jiu104
21250,匂,4,zzzzzz,zzzzzz5,zzzzzz599
20025,丹,4,dan,dan1,dan104
21248,匀,4,yun,yun2,yun204
20044,乌,4,wu,wu1,wu104
21356,卬,4,ang,ang2,ang204
20964,凤,4,feng,feng4,feng404
21246,勾,4,gou,gou1,gou104
21433,厹,4,qiu,qiu2,qiu204
27571,殳,4,shu,shu1,shu104
21342,卞,4,bian,bian4,bian404
20131,亣,4,ta,ta4,ta404
20845,六,4,liu,liu4,liu404
25991,文,4,wen,wen2,wen204
20130,亢,4,kang,kang4,kang404
26041,方,4,fang,fang1,fang104
38377,闩,4,shuan,shuan1,shuan104
28779,火,4,huo,huo3,huo304
20847,兯,4,zzzzzz,zzzzzz5,zzzzzz599
20026,为,4,wei,wei2,wei204
26007,斗,4,dou,dou4,dou404
24518,忆,4,yi,yi4,yi404
28780,灬,4,biao,biao1,biao104
35745,计,4,ji,ji4,ji404
35746,订,4,ding,ding4,ding404
25143,户,4,hu,hu4,hu404
31035,礻,4,shi,shi4,shi404
35747,讣,4,fu,fu4,fu404
35748,认,4,ren,ren4,ren404
20887,冗,4,rong,rong3,rong304
20888,冘,4,yin,yin2,yin204
35749,讥,4,ji,ji1,ji104
24515,心,4,xin,xin1,xin104
20014,丮,4,ji,ji3,ji304
32896,肀,4,yu,yu4,yu404
23609,尹,4,yin,yin3,yin304
21328,卐,4,wan,wan4,wan404
22828,夬,4,guai,guai4,guai404
23610,尺,4,chi,chi3,chi304
24342,弖,4,hu,hu4,hu404
24340,弔,4,diao,diao4,diao404
24341,引,4,yin,yin3,yin304
19985,丑,4,chou,chou3,chou304
21325,卍,4,wan,wan4,wan404
29247,爿,4,pan,pan2,pan204
23380,孔,4,kong,kong3,kong304
24052,巴,4,ba,ba1,ba104
38431,队,4,dui,dui4,dui404
38430,阞,4,le,le4,le404
21454,収,4,shou,shou1,shou104
19986,丒,4,chou,chou3,chou304
20997,刅,4,chuang,chuang1,chuang104
21150,办,4,ban,ban4,ban404
22787,夃,5,gu,gu1,gu105
20197,以,5,yi,yi3,yi305
20801,允,4,yun,yun3,yun304
20104,予,4,yu,yu3,yu304
37011,邓,4,deng,deng4,deng404
21149,劝,4,quan,quan4,quan404
21432,厸,4,lin,lin2,lin204
21452,双,4,shuang,shuang1,shuang104
27596,毌,4,guan,guan4,guan404
20070,书,4,shu,shu1,shu104
27595,毋,4,wu,wu2,wu204
20067,乣,4,diu,diu1,diu104
24187,幻,4,huan,huan4,huan404
24333,弍,5,er,er4,er405
29577,玉,5,yu,yu4,yu405
29578,玊,5,su,su4,su405
21278,匞,5,jiang,jiang4,jiang405
29580,玌,5,qiu,qiu2,qiu205
21002,刊,5,kan,kan1,kan105
26410,未,5,wei,wei4,wei405
26411,末,5,mo,mo4,mo405
31034,示,5,shi,shi4,shi405
20987,击,5,ji,ji1,ji105
37015,邗,5,han,han2,han205
37016,邘,5,yu,yu2,yu205
20028,丼,5,jing,jing3,jing305
25099,戋,5,jian,jian1,jian105
22306,圢,5,ting,ting3,ting305
25171,打,5,da,da3,da305
24039,巧,5,qiao,qiao3,qiao305
27491,正,5,zheng,zheng4,zheng405
22308,圤,5,yan,yan2,yan205
25169,扑,5,pu,pu1,pu105
21321,卉,5,hui,hui4,hui405
22310,圦,5,zzzzzz,zzzzzz5,zzzzzz599
25170,扒,5,ba,ba1,ba105
25174,扖,5,zzzzzz,zzzzzz5,zzzzzz599
22309,圥,5,lu,lu2,lu205
25167,扏,5,qiu,qiu2,qiu205
20983,凷,5,kuai,kuai4,kuai405
21357,卭,5,qiong,qiong2,qiong205
22765,壭,5,zzzzzz,zzzzzz5,zzzzzz599
37019,邛,5,qiong,qiong2,qiong205
21151,功,5,gong,gong1,gong105
25168,扐,5,le,le4,le405
25172,扔,5,reng,reng1,reng105
21435,去,5,qu,qu4,qu405
25173,払,5,fu,fu2,fu205
